Shelf mark	Name	Related shelfmark	Depository	Object	Size	Dating	Leaves/pages	Main text	Minor text	Gatherings	Full size	Leaf size	Catch Words and Gatherings	Production Unit	Pricking	Material	Ruling	Columns	Lines	Script	Rubric	Scribe	Production	Style	Colours	Form of Initials	Size of Initials	Iconography	Place	Literature	Links to Database
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	ff. 57-63	MEL	Eb ch. 27 	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	ff. 72r-123v	MEStL		Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 79r	MEStL	Kgb ch. 26	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 91r	MEStL	Poetic verse (in Bb)	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 96r	MEStL	Poetic verse (in Bb)	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	ff. 124r-125r		Kalmar recess (1474)	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 125v	KrL	Jb ch. 23	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 126r-v			Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 127r	EPG	Poetic verse	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	ff. 127r-129r	EPG		Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	ff. 130r-131v		Family tree	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 1			KB	Codex	Unknown	1474 (1440-1460, SGL)	f. 132		About the meaning of the oath and about perjury	Unknown	Unknown	290x200	Unknown	I	No	Parchment	Ink	1	33		Yes	Hand a	Unknown	Romanesque/Gothic	R, B	Ornamented large (8-9 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	On f. 24v, a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. 	Throughout	Klemming (1881-1882:516-517); Beckman (1919:28-35); Klemming (1868-1881: 63-8); Beckman (1917:219-20); Beckman (1917:219-20); Beckman (1917:120)	=HYPERLÄNK("https://www.alvin-portal.org/alvin/view.jsf?aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&c=5&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&searchType=TEXT&pid=alvin-record%3A472885&dswid=-5738";"AV")
B 2			KB	Codex	Unknown	1450-1500	ff. 1-11v	UL	Kkb	Unknown	Unknown	230x160	Custodes on f. 9v (rest), f. 29v, f. 39v, f. 49v, f. 68v	I	No	Parchment	None	1	32-34		No	Hand a	Unknown	Romanesque	R, B, G	Ornamented large (3-8 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	None. Detaactable ornamented large initials on f. 1r10-12, f. 13r2-6, f. 21v14-18, f. 26r13-16, f. 29r15-20, f. 35v25-28, f. 37v4-9, f. 71r19-24, f. 79r1-8, f. 85v1-6, f. 97v4-7, f. 142v5-9. 	Throughout	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	MS (not digitalised)
B 2			KB	Codex	Unknown	1450-1500	ff. 12r-77r	MEL		Unknown	Unknown	230x160	Custodes on f. 9v (rest), f. 29v, f. 39v, f. 49v, f. 68v	I	No	Parchment	None	1	32-34		No	Hand a	Unknown	Romanesque	R, B, G	Ornamented large (3-8 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	None. Detaactable ornamented large initials on f. 1r10-12, f. 13r2-6, f. 21v14-18, f. 26r13-16, f. 29r15-20, f. 35v25-28, f. 37v4-9, f. 71r19-24, f. 79r1-8, f. 85v1-6, f. 97v4-7, f. 142v5-9. 	Throughout	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	Av
B 2			KB	Codex	Unknown	1623?	f. 77v		Genealogic annotation for Count Claus Bjekle till Wijck et al. (d. 1623).	Unknown	Unknown	230x160	Custodes on f. 9v (rest), f. 29v, f. 39v, f. 49v, f. 68v	I	No	Parchment	None	1	32-34		No	Further scribes	Unknown	Romanesque	R, B, G	Ornamented large (3-8 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	None. Detaactable ornamented large initials on f. 1r10-12, f. 13r2-6, f. 21v14-18, f. 26r13-16, f. 29r15-20, f. 35v25-28, f. 37v4-9, f. 71r19-24, f. 79r1-8, f. 85v1-6, f. 97v4-7, f. 142v5-9. 	Throughout	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	Av
B 2			KB	Codex	Unknown	1623?	f. 78r-v		Legal formulas	Unknown	Unknown	230x160	Custodes on f. 9v (rest), f. 29v, f. 39v, f. 49v, f. 68v	I	No	Parchment	None	1	32-34		No	Further scribes	Unknown	Romanesque	R, B, G	Ornamented large (3-8 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	None. Detaactable ornamented large initials on f. 1r10-12, f. 13r2-6, f. 21v14-18, f. 26r13-16, f. 29r15-20, f. 35v25-28, f. 37v4-9, f. 71r19-24, f. 79r1-8, f. 85v1-6, f. 97v4-7, f. 142v5-9. 	Throughout	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	Av
B 2			KB	Codex	Unknown	1450-1500	ff. 79-142r	MEStL		Unknown	Unknown	230x160	Custodes on f. 9v (rest), f. 29v, f. 39v, f. 49v, f. 68v	I	No	Parchment	None	1	32-34		No	Hand a	Unknown	Romanesque	R, B, G	Ornamented large (3-8 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	None. Detaactable ornamented large initials on f. 1r10-12, f. 13r2-6, f. 21v14-18, f. 26r13-16, f. 29r15-20, f. 35v25-28, f. 37v4-9, f. 71r19-24, f. 79r1-8, f. 85v1-6, f. 97v4-7, f. 142v5-9. 	Throughout	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	Av
B 2			KB	Codex	Unknown	1450-1500	ff. 142v-144v	MEgr		Unknown	Unknown	230x160	Custodes on f. 9v (rest), f. 29v, f. 39v, f. 49v, f. 68v	I	No	Parchment	None	1	32-34		Yes	Hand a	Unknown	Romanesque	R, B, G	Ornamented large (3-8 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	None. Detaactable ornamented large initials on f. 1r10-12, f. 13r2-6, f. 21v14-18, f. 26r13-16, f. 29r15-20, f. 35v25-28, f. 37v4-9, f. 71r19-24, f. 79r1-8, f. 85v1-6, f. 97v4-7, f. 142v5-9. 	Throughout	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	Av
B 2			KB	Codex	Unknown	Unknown	f. 144v	Bible	John I	Unknown	Unknown	230x160	Custodes on f. 9v (rest), f. 29v, f. 39v, f. 49v, f. 68v	I	No	Parchment	None	1	32-34		No	Hand a	Unknown	Romanesque	R, B, G	Ornamented large (3-8 lines) and small initials (2 lines). Small and partly large initials are painted with Lombard letters.	Large and small	None. Detaactable ornamented large initials on f. 1r10-12, f. 13r2-6, f. 21v14-18, f. 26r13-16, f. 29r15-20, f. 35v25-28, f. 37v4-9, f. 71r19-24, f. 79r1-8, f. 85v1-6, f. 97v4-7, f. 142v5-9. 	Throughout	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	Av
B 2			KB	Codex	Unknown	Unknown	f. 145r		Enormia crimina	Unknown	Unknown	230x160	None	II	No	Parchment	None	1	Various		No	Further scribes	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	Av
B 2			KB	Codex	Unknown	Unknown	f. 146			Unknown	Unknown	230x160	None	II	No	Parchment	None	1	Various		No	Further scribes	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Schlyter (1834:XXI-XXII; 1838:XL-XLI; 1862:XL; 1865:XIX-XX); Klemming (1868-1881:57); Åström (2003; 2013); Beckman (1917:54); Wiktorsson (1985:118-134); Geete (1900-1916:243-259)	Av
