Shelf mark	Language	Name	Related Shelfmarks	Depository	Object	Size	Dating	Leaves/Pages	Main text	Minor text	Gatherings	Full size	Leaf size	Catch Words and Gatherings	Production Unit	Pricking	Material	Ruling	Columns	Lines	Script	Rubric	Scribe	Production	Style	Colours	Form of Initials	Size of Initials	Iconography	Place	Literature	Links to Database
AM 3 4to	da			AMS	Codex	4to	1485-1500	f. 60r-v		RB (King Christian)	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0003/0); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174)
AM 3 4to	da			AMS	Codex	4to	1485-1500	ff. 61r-63r		Gårdsrett (unknown)	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		Yes	Hand a	Unknown	Romanesque	Unknown	Lombard-styled medium (3-4 lines) and small initials (2 lines).	Small and Medium	None. The manuscript contains nine medium initials on f. 1r1-4, f. 15v1-3, f. 48v23-25, f. 56r3-5, f. 58r20-22, f. 59r1-3, f. 59v8-10, f. 60r15-17, f. 61r1-3.	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0003/0); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174)
AM 3 4to	da			AMS	Codex	4to	Unknown	ff. 63r-64r		Explanation of the value calculation in the fine provisions of the law	Unknown	210x155x26	203x147	No	I	No	Parchment	Unknown	1	31		No	Hand b	Unknown						Nowhere		[HR](https://handrit.is/manuscript/view/da/AM04-0003/0); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7174)
AM 4 4to	da		AM 11 4to	AMS	Codex	4to	1300	1r-72r	JyL		I:8 (4b, ff. 1-8); II:8 (4b, ff. 9-16); III:8 (4b, ff. 17-24); IV:8 (4b, ff. 25-32); V:8 (4b, ff. 33-40); VI:8 (4b, ff. 41-48); VII:8 (4b, ff. 49-56); VIII:8 (4b, ff. 57-64); IX:8 (4b, ff. 65-72)	222x160x33	217x153	Yes. Custods on f. 16v, f. 24v and f. 32v.	I	Yes	Parchment	Ink	1	23		Yes	Hand a	Unknown	Romanesque	R, B	Ornamented, one pen-flourished large (4 lines), and several medium (3 lines) and small initials (2 lines).	Small, Medium and Large	None. The manuscript contains one large initial on f. 23r13-16 and two medium initials on f. 1r1-3 and f. 52v20-22. In addition, four paintings are found in the margins and consisting of a lion (f. 4v), a cat (?, f. 5v), and twice a hooded face (f. 70r, f. 70v).	Throughout		[HR](https://handrit.is/manuscript/view/en/AM04-0004/0); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/7833); [HS.dk](https://www.e-pages.dk/ku/498/)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	ff. 2r-86v	JyL		Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	ff. 87r-102r		Tord Degns recess (1360)	Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	ff. 103r-108r		Gårdsrett (unknown)	Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	f. 108v-114v		List on the content of KrSt	Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	ff. 115r-137v	KrSt		Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	ff. 139r-178r		Haandfæstning (Christian III)	Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	ff. 178v-189r		RBKK 1537	Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	ff. 189v-212r		RBKK 1539	Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	ff. 213v-217r		RBKK 1540	Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 5 4to	da		AM 6 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1547	ff. 217v-244v		RBKK 1547	Unknown	Unknown	192x137		I	No	Paper	Unknown	1	25		No	Hand a	Unknown	Romanesque	Unknown	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. Fifteen large and medium initials on f. 1v1-5, f. 27r1-8 (?), f. 63r1-8 (?), f. 87r9-13 (?), f. 103r5-8, f. 108v5-11 (?), f. 109v (?), f. 114v (?), f. 115r1-3, f. 139r1-4, f. 154v1-3, f. 189v1-4, f. 2141-4, f. 215v1-4, f. 238r (?).	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0005/116); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/8840)
AM 6 4to	da		AM 5 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1537-1557	ff. 1r-118v	JyL		I:8 (4b; ff. 1-8); II:8 (4b, ff. 9-16); III:8 (4b, ff. 17-24); IV:8 (4b, ff. 25-32); V:8 (4b, ff. 33-40); VI:8 (4b, ff. 41-48); VII:8 (4b, ff. 49-56); VIII:8 (4b, ff. 57-64); IX:8 (4b, ff. 65-72); X:8 (4b, ff. 73-80); XI:8 (4b, ff. 81-88); XII: 8 (4b, ff. 89-96); XIII:8 (4b, ff. 97-104); XIV:8 (4b, ff. 105-112); XV:8 (4b, ff. 113-120); XVI:8 (4b, ff. 121-128); XVII:8 (4b, ff. 129-136); XVIII:14 (7b, ff. 137-150); XIX:8 (4b, ff. 151-158; XX:8 (4b, ff. 159-166); XXI:10 (5b, ff. 167-176); XXII:12 (6b, ff. 177-188); XXIII:8 (4b, ff. 189-196); XXIV:9 (4b, ff. 197-204); XXV:8 (4b, ff. 205-212); XXVI:3 (1b, 1f, ff. 213-215); XXVII:8 (4b, ff. 216-223); XXVIII:8 (4b, ff. 224-231); XXIX:8 (4b, ff. 232-239); XXX:8 (4b, ff. 240-247); XXXI:8 (4b, ff. 248-255); XXXII:8 (4b, ff. 256-263); XXXIII:8 (4b, ff. 264-271); XXXIV: 8 (4b, ff. 272-279); XXXV:8 (4b, ff. 280-287); XXXVI:8 (4b, ff. 288-295); XXXVII:8 (4b, ff. 296-303); XXXVIII:8 (4b, ff. 304-311); XXXIX:8 (4b, ff. 312-319); XL:8 (4b, ff. 320-327); XLI:8 (4b, ff. 328-335); XLII:7 (3b, 1f, ff. 337-342); XLIII:6 (3b, ff. 343-348); XLIV:23 (1b, 1f, 10b stiched to the gathering, ff. 349-371)	Unknown	201x140		I	No	Paper	Unknown	1	21		No	Hand a	Unknown	Romanesque	Orange, Black	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. seventeen large and medium initials on f. 1r1þ5, f. 141r, f. 198v, f. 199r, f. 199v, f. 200r, f.200v, f. 206r, f. 206v, f. 207r, f. 207v, f.208v, f. 209r, f. 209v, f. 210r, f.211r, f. 310r.	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0006/249); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/10298)
AM 6 4to	da		AM 5 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1537-1557	ff. 119r-140v		Tord Degns recess (1360)	I:8 (4b; ff. 1-8); II:8 (4b, ff. 9-16); III:8 (4b, ff. 17-24); IV:8 (4b, ff. 25-32); V:8 (4b, ff. 33-40); VI:8 (4b, ff. 41-48); VII:8 (4b, ff. 49-56); VIII:8 (4b, ff. 57-64); IX:8 (4b, ff. 65-72); X:8 (4b, ff. 73-80); XI:8 (4b, ff. 81-88); XII: 8 (4b, ff. 89-96); XIII:8 (4b, ff. 97-104); XIV:8 (4b, ff. 105-112); XV:8 (4b, ff. 113-120); XVI:8 (4b, ff. 121-128); XVII:8 (4b, ff. 129-136); XVIII:14 (7b, ff. 137-150); XIX:8 (4b, ff. 151-158; XX:8 (4b, ff. 159-166); XXI:10 (5b, ff. 167-176); XXII:12 (6b, ff. 177-188); XXIII:8 (4b, ff. 189-196); XXIV:9 (4b, ff. 197-204); XXV:8 (4b, ff. 205-212); XXVI:3 (1b, 1f, ff. 213-215); XXVII:8 (4b, ff. 216-223); XXVIII:8 (4b, ff. 224-231); XXIX:8 (4b, ff. 232-239); XXX:8 (4b, ff. 240-247); XXXI:8 (4b, ff. 248-255); XXXII:8 (4b, ff. 256-263); XXXIII:8 (4b, ff. 264-271); XXXIV: 8 (4b, ff. 272-279); XXXV:8 (4b, ff. 280-287); XXXVI:8 (4b, ff. 288-295); XXXVII:8 (4b, ff. 296-303); XXXVIII:8 (4b, ff. 304-311); XXXIX:8 (4b, ff. 312-319); XL:8 (4b, ff. 320-327); XLI:8 (4b, ff. 328-335); XLII:7 (3b, 1f, ff. 337-342); XLIII:6 (3b, ff. 343-348); XLIV:23 (1b, 1f, 10b stiched to the gathering, ff. 349-371)	Unknown	201x140		I	No	Paper	Unknown	1	21		No	Hand a	Unknown	Romanesque	Orange, Black	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. seventeen large and medium initials on f. 1r1þ5, f. 141r, f. 198v, f. 199r, f. 199v, f. 200r, f.200v, f. 206r, f. 206v, f. 207r, f. 207v, f.208v, f. 209r, f. 209v, f. 210r, f.211r, f. 310r.	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0006/249); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/10298)
AM 6 4to	da		AM 5 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1537-1557	ff. 141r-147r		List on the content of KrSt	I:8 (4b; ff. 1-8); II:8 (4b, ff. 9-16); III:8 (4b, ff. 17-24); IV:8 (4b, ff. 25-32); V:8 (4b, ff. 33-40); VI:8 (4b, ff. 41-48); VII:8 (4b, ff. 49-56); VIII:8 (4b, ff. 57-64); IX:8 (4b, ff. 65-72); X:8 (4b, ff. 73-80); XI:8 (4b, ff. 81-88); XII: 8 (4b, ff. 89-96); XIII:8 (4b, ff. 97-104); XIV:8 (4b, ff. 105-112); XV:8 (4b, ff. 113-120); XVI:8 (4b, ff. 121-128); XVII:8 (4b, ff. 129-136); XVIII:14 (7b, ff. 137-150); XIX:8 (4b, ff. 151-158; XX:8 (4b, ff. 159-166); XXI:10 (5b, ff. 167-176); XXII:12 (6b, ff. 177-188); XXIII:8 (4b, ff. 189-196); XXIV:9 (4b, ff. 197-204); XXV:8 (4b, ff. 205-212); XXVI:3 (1b, 1f, ff. 213-215); XXVII:8 (4b, ff. 216-223); XXVIII:8 (4b, ff. 224-231); XXIX:8 (4b, ff. 232-239); XXX:8 (4b, ff. 240-247); XXXI:8 (4b, ff. 248-255); XXXII:8 (4b, ff. 256-263); XXXIII:8 (4b, ff. 264-271); XXXIV: 8 (4b, ff. 272-279); XXXV:8 (4b, ff. 280-287); XXXVI:8 (4b, ff. 288-295); XXXVII:8 (4b, ff. 296-303); XXXVIII:8 (4b, ff. 304-311); XXXIX:8 (4b, ff. 312-319); XL:8 (4b, ff. 320-327); XLI:8 (4b, ff. 328-335); XLII:7 (3b, 1f, ff. 337-342); XLIII:6 (3b, ff. 343-348); XLIV:23 (1b, 1f, 10b stiched to the gathering, ff. 349-371)	Unknown	201x140		I	No	Paper	Unknown	1	21		No	Hand a	Unknown	Romanesque	Orange, Black	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. seventeen large and medium initials on f. 1r1þ5, f. 141r, f. 198v, f. 199r, f. 199v, f. 200r, f.200v, f. 206r, f. 206v, f. 207r, f. 207v, f.208v, f. 209r, f. 209v, f. 210r, f.211r, f. 310r.	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0006/249); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/10298)
AM 6 4to	da		AM 5 4to, AM 7 4to (same scribe)	AMS	Codex	4to	1537-1557	ff. 148r-175r	KrSt		I:8 (4b; ff. 1-8); II:8 (4b, ff. 9-16); III:8 (4b, ff. 17-24); IV:8 (4b, ff. 25-32); V:8 (4b, ff. 33-40); VI:8 (4b, ff. 41-48); VII:8 (4b, ff. 49-56); VIII:8 (4b, ff. 57-64); IX:8 (4b, ff. 65-72); X:8 (4b, ff. 73-80); XI:8 (4b, ff. 81-88); XII: 8 (4b, ff. 89-96); XIII:8 (4b, ff. 97-104); XIV:8 (4b, ff. 105-112); XV:8 (4b, ff. 113-120); XVI:8 (4b, ff. 121-128); XVII:8 (4b, ff. 129-136); XVIII:14 (7b, ff. 137-150); XIX:8 (4b, ff. 151-158; XX:8 (4b, ff. 159-166); XXI:10 (5b, ff. 167-176); XXII:12 (6b, ff. 177-188); XXIII:8 (4b, ff. 189-196); XXIV:9 (4b, ff. 197-204); XXV:8 (4b, ff. 205-212); XXVI:3 (1b, 1f, ff. 213-215); XXVII:8 (4b, ff. 216-223); XXVIII:8 (4b, ff. 224-231); XXIX:8 (4b, ff. 232-239); XXX:8 (4b, ff. 240-247); XXXI:8 (4b, ff. 248-255); XXXII:8 (4b, ff. 256-263); XXXIII:8 (4b, ff. 264-271); XXXIV: 8 (4b, ff. 272-279); XXXV:8 (4b, ff. 280-287); XXXVI:8 (4b, ff. 288-295); XXXVII:8 (4b, ff. 296-303); XXXVIII:8 (4b, ff. 304-311); XXXIX:8 (4b, ff. 312-319); XL:8 (4b, ff. 320-327); XLI:8 (4b, ff. 328-335); XLII:7 (3b, 1f, ff. 337-342); XLIII:6 (3b, ff. 343-348); XLIV:23 (1b, 1f, 10b stiched to the gathering, ff. 349-371)	Unknown	201x140		I	No	Paper	Unknown	1	21		No	Hand a	Unknown	Romanesque	Orange, Black	Large and medium, Arabesque-styled initials of various size, as well as Lombard-styled small initials (1-2 lines).	Small, Medium and Large	None. seventeen large and medium initials on f. 1r1þ5, f. 141r, f. 198v, f. 199r, f. 199v, f. 200r, f.200v, f. 206r, f. 206v, f. 207r, f. 207v, f.208v, f. 209r, f. 209v, f. 210r, f.211r, f. 310r.	Throughout		[HR](https://handrit.is/manuscript/view/da/AM04-0006/249); [NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/10298)
