Shelf mark	Name	Related Shelfmarks	Depository	Object	Size	Dating	Leaves/Pages	Main text	Minor text	Gatherings	Full size	Leaf size	Catch Words and Gatherings	Production Unit	Pricking	Material	Ruling	Columns	Lines	Script	Rubric	Scribe	Production	Style	Colours	Form of Initials	Size of Initials	Iconography	Place	Literature	Links to Database
							f. 159r	Historia de gentibus septentrionalibus:	prt												Yes										
							f. 159v		On the tithe in Kyro socken and in Tavastland												No										
							f. 160r-v																								
							ff. 161r-162v	UL	parts																						
							f. 163r	ÖgL	prt (several general rules)																						
							f. 163r	UL	prt (several general rules)																						
							ff. 163v-164v		Changes between old and new laws (1435)																						
B 3			KB	Codex	Unknown	1488	ff. 1r-15v	UL	Kkb	I:9 (3b; 3f; ff. 1-9); II:10 (5b; ff. 10-19); III:9 (4b; 1f; ff. 20-28); IV:10 (4b; 2f; ff. 29-38); V:b.4 + s.1; ff. 39-47); VI:9 (3b; 3f; ff. 48-56); VII:10 (5b; ff. 57-66); VIII:10 (5b; ff. 67-76); IX:11 (5b; 1f; ff. 77-87); X:13 (5b+3f; ff. 88-100 and a mirror leaf of a Latin antiphonary)	220x160x40	210x150	None	I	Yes	Parchment	Ink	1	28-30	Cursiva R	Yes	Hand a (Johannes Laurentii)	Östgöterland (Askeby)	Romanesque	R	Lombard-styled large (4 lines); medium (3 lines) and small (2 lines) initials. At times; extentions of these are found in the lower margin.	Small; medium and large	None. Twelve large Lombard initials on 17r1-4; f. 28r25-28; f. 33r10-13; f. 37v9-12; f. 61r19-22; f. 64r6-9; f. 71r26-29; f. 78v11-14; f. 81v9-12; f. 90r3-6; f. 92v26-29; f. 93v24-27. In addition; two medium Lombard initials are found on f. 2v1-3 and on f. 87r27-29.	Throughout	Schlyter (1834:XXII); Schlyter (1862:XLVII-XLVIII); Åström (2003)	[MS](https://manuscripta.se/ms/100255)
							ff.16r-99r	MEL																							
							ff. 26r-27v		Kgb (UL)																						
							f. 99r		Latin annotation															None	None	None	None	None	Nowhere		
B 4			KB	Codex	Unknown	1440-1460	f. 1v		Medical formulas	Unknown	260x190x100	240x180	Custods on f. 25v; f. 45v; f. 55v; f. 65v; f. 75v; f. 85v; f. 95v; f. 112v; f. 122v; f. 132v; f. 140v; f. 150v; f. 160v; f. 170v.	I	No	Parchment	Dry		Unknown		No	Unknown	Arvid Birgersson Trolle (1460(?)-1505)	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Bergius (1758:41; 42; 87; 87-8); Klemming (1883-1886: 450); Ståhle (1949:104;112); Stiernhielm (1663:87-88); Collin (1827:292-4); Burman (1727); Klemming (1883-1884:101; 102; 140-1; 472-3; 452); Silfverstolpe (1879-1887:822-5); Beckman (1917:120); Ahnlund (1944)	[MS (Not digitalised)](https://manuscripta.se/ms/100256)
							f. 2r		RB																						
									Medical formula																						[Av](https://www.alvin-portal.org/alvin/view.jsf?dswid=8148&searchType=TEXT&query=&aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1400%22%5D&pid=alvin-record%3A472910&c=19)
							f. 3r		Charms												No										
									Medical formula												Yes										
							ff. 3v-4r		Kungens ensaker (short)												No										
							f. 6r-v		Legal formulas																						
							f. 7r	St Bridgit	Letter to Birger																						
							f. 8r		Astronomic text												No										
								Revelations (St Bridgit); book 8	ch. 4												Yes										
							f. 9r		RB 1414 [2]												No										
							f. 10r		Legal formulas																						
							ff. 11-17r		Calendarium												No	Scribe a									
							f. 17v		Legal formulas													Unknown									
							f. 18r	Revelations (St Bridgit); book 8	ch. 4																						
							f. 18v																								
							ff. 19r-102r	MEL											28	Cursiva R		Scribe b		Romanesque	R; B; Gold (f. 67v; f. 68r)	Ornamented large (5-6 lines); medium (3 lines) and small (2 lines) initials.	Small; medium and large	None. According to Alvin; one larg initials (8 lines) on f. 20r . Furthermore; twenty-four medium initials (4-6 lines) on f. 19r; f. 29r-v; f. 33v; f. 34v; f. 38r-v; f. 45r; f. 46r; f. 62v; f. 64v; f. 65v; f. 72r; f. 73r; f. 79v; f. 80r; f. 82r; f. 83r; f. 88v; f. 90r; f. 93v; f. 94r; f. 95v; f. 96v;	Throughout		
							f. 23r		Legal formula												Yes										
							f.33:1r		Gb ch. 3.1 (KrL)																						
							f.53r		Bb ch. 36.2-3 (ÖgL)																						
							ff.53v-102r																								
							f.102r		Latin annotation										Unknown			Unknown		Unknown	Unknown	Unknown	Unknown	Unknown	Unknown		
									Medical formulas												Yes										
									Prayer for the collect												No										
									Latin annotation																						
							f.103r		Medical formulas												Yes										
							ff.104r-111v	MEStL											28	Cursiva R		Scribe b		Romanesque	Ornamented large (5-6 lines); medium (3 lines) and small (2 lines) initials.	Ornamented large (5-6 lines); medium (3 lines) and small (2 lines) initials.	Small; medium and large	None. According to Alvin four large initials (8 lines) on f. 104v; f. 156v; f. 166v; f. 174v. Furthermore ten medium initials (4-6 lines) on f. 104r; f. 112r-v; f. 117v; f. 118r; f. 122v; f. 127r; f. 134v; f. 143v; f. 144r; f. 148r; f. 155v; f. 161v; f. 162r; f. 164r; f. 166r; f. 168v; f. 169r; f. 172v; f. 177r.	Throughout		
							f.112r		Kgb ch.26																						
							ff. 112v (?) - 177v																								
							ff. 178-191v	UL	Kkb										Unknown			Scribe c		Unknown	Unknown	Unknown	Unknown	Unknown	Unknown		
									Kkb ch.14:9													Unknown									
							f. 191v		RBGK 29.6.1538																						
							ff. 192r-196r		Kalmar recess (1474)																						
							ff. 197-198																								
							ff.199v-200v		Litary text ("Om Bergkvara")																						
							f.200v		Verdict (Arvid Trolle on Håkan Tuvesson (1450)																						
							f.202r		Geneological information (on the family of Hunner Gröbe)																						
							f.202v		Geneological information (on the family of Arvid Trolle)																						
B 5 a		B 172; B 23 a	KB	Codex	Unknown	1375-1450	ff. 1-9v	MEL		I:8 (4b;ff. 1-7); II:8 (4b; ff. 8-15); III:8 (4b; ff. 16-23); IV:8 (3b; 2f; ff. 24-31); V:6 (2b; 2f; ff. 32-37); VI:2 (1b; ff. 38-39); VII:7 (3b; 1f; ff. 40-46); VIII:10 (5b; ff. 47-56); IX:10 (5b ;ff.57-66); X:9 (3b; 3f; ff. 67-75); XI:12 (6b; ff. 76-87); XII:6 (3b; ff. 88-92)	235x160x50	220x170	Custodes on f. 7v; f. 9v; f. 10v; f. 11v; f. 15v; f. 23v; f. 39v; f. 46v; f. 54r; f. 66v;f. 67v; f. 68v; f. 69v; f. 76v; f. 79r; f. 81v; f. 82r; f. 87v.	I		Parchment	Ink	2	44-50	Cursiva R	Yes	Hand a (Same scribe as in KB B 23a; B 172; RA Skokloster E 8801)	Unknown	Romanesque	R; G	Unknown	Unknown	Unknown. According to MS is B 5 a painted in Lombard initials. In addition; marginal paintings are found on f. 75r (a face); f. 78v (face of a woman); and f. 78v (laying man).	Throughout	Cornell (1943); Beckman (1917:120)	[MS](https://manuscripta.se/ms/100257)
							ff. 10v-12r	UL	Kgb																						
							ff. 12v-92r	MEL																							
							f. 62v		Tmb ch. 43 (KrL)																						
							f. 92r	KrL	Tb ch. 1													Hand b; Hand c; Hand d		Unknown	Unknown	Unknown	Unknown	Unknown	Unknown		
							f. 92r-v		Legal formulas																						
B 5 b			KB	Codex	Unknown	1350-1400	ff.1-8r		Calendarium	I:8(4b; ff.1-8); II:11(5b+2f;ff.9-19); III:10 (4b+2f; ff. 20-29); IV:10 (5b; ff. 30-39); V:10 (5b; ff. 40-49); VI:10 (5b; ff. 50-59); VII:9(4b+1f; ff. 60-68); VIII:10 (5b; ff. 69-78); IX:10(5b; ff. 79-88); X:7(3b+1f; ff. 89-95); XI:9(4b+1f; ff. 96-104); XII:9(4b+1f; ff. 105-113); XIII:11(5b+1f; ff. 114-123); XIV:10(5b; ff. 124-133); XV:9(4b+1f; ff. 134-142); XVI:9(4b+1f; ff. 143-151); XVII:9(4b+1f; ff. 152-160); XVIII:9(4b+1f; ff. 161-169); XIX:2(1b; ff. 170-171); XX:5(2b+1f; ff. 172-176)	260x190x80	245x170	None	II	No	Parchment	Ink	Unknown	Various	Cursiva R	Yes	Various scribes	Unknown	Romanesque	R; B	Ornamented large (4-7 lines) and small (2 lines). In one instance; also a medium initial (3 lines) is found. Generally; small initials are painted as Lombard letters.	Large and small	On f. 19v; a family tree diagram is painted consisting of twenty medallions with up to two figures featured in each inner field. Otherwise; the manuscript does not contain histriated content in the book painting. Twenty-seven large initials are found on f. 10r1-4; f. 22v1-5; f. 37r15-20; f. 44v1-4; f. 50v12-16; f. 61r7-11; f. 86r1-5; f. 89v11-17; f. 100v6-11; f. 111r1-5; f. 115v10-15; f. 123v3-7; f. 133r9-15; f. 140v1-7; f. 150r1-6; f. 156v1-5; f. 161v17-22; f. 166r1-6; f. 177v1-6; f. 181v8-14; f. 189v1-5; f. 195r1-6; f. 197r16-23; f. 199r19-26; f. 201v22-29; f. 205r1-5; f. 206v1-5. In addition; one medium initial is found on f. 9r1-3.	Throughout		[MS](https://manuscripta.se/ms/100258)
							f. 8v		Om högmäles ogärningar									1	23		No										[Av](https://www.alvin-portal.org/alvin/view.jsf?dswid=8148&searchType=TEXT&query=&aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1300%22%5D&pid=alvin-record%3A472863&c=3)
						Unknown	f. *9		Om högmäles ogärningar (in Latin)							Paper	None		31												
						1350-1400	f. 9r	SdmL	Kkb				Yes	I	No	Parchment	Ink		20-23	Textualis	Yes	Hand a									
							f.9v		Kkb: ToC						Yes						No										
							f.10r-19r		Kkb																						
							f.19v		Geneological table						No					Cursiva R		Two scribes			R; G						
							f.19v		Poetry																R; B						
							f.20r		Recipe						Yes		None					Hand a									
							f.20v-139	MEL									Ink			Textualis	Yes										
							f. 20v-21r (in the margins)		Revelations (St Bridgit); book 8 (ch. 3)											Cursiva R	No	Hand b									
							f.85v		Bb ch. 36:2-3 (ÖgL)											Cursiva R	No										
							f.116A		insert						No				14		No										
							f.139r		Latin annotation by the scribe								None		5	Cursiva R	Yes										
							f.139v-208v	MEStL							Yes		Ink		23	Textualis	No										
							f.176v		Legal formulas											Cursiva R											
							ff.209r-211r		Gårdsrett (unknown)										Various	Cursiva R	Yes	Various scribes		None	None	None	None	None	None		
							ff.211v-213r		Sunday- and golden letters						No			Other			No										
						Unknown	f.213v		RB 1240							Paper	None				Yes										
							f.213v		RB																						
B 6			KB	Codex	Unknown	Unknown	f.0:7r-v		Frag. Illustration	Unknown	270x200x50	255x180	No	I	No	Parchment	Ink	Unknown	Unknown	Textualis	No	Hand b	I	Romanesque; High Gothic (those parts dated to 1375-1400)	R; B; Black	Ornamented large (4-5 lines) and small initials (2 lines). Small initials are usually painted as Lombard letters.	Large and Small	Five historiated miniatures are found in the manuscript. On the fragmented f. 1r (a breaking wheel and a killing scene featuring a victim on the left the killer standing behind the victim with a sword on the right; and on f. 72r; f. 81r; f. 85r and f. 90r fighting scenes featuring two (f. 72r; f. 85r) and three (f. 81r; f. 90r) figures. In addition; on f. 93r; the flaggellation of a single figure and the hanging of three figures is depicted. All of these sections refer to the respective sections of the MEL (on homicide and on theft). Otherwise; the manuscript contains fifteen large initials (4 -5 lines) on f. 3r22-26; f. 14v16-22; f. 25v16-21; f. 32r1-5; f. 41v1-4; f. 45v1-4; f. 47v13-16; f. 52r5-8; f. 56v21-24; f. 64r11-16; f. 74r1-4; f. 82r1-4; f. 86r1-4; f. 91r1-4 and f. 95r1-5. In addition; on f. 39r; two ornamented medium initials are found; but it seems they are part of a palimsest as both the featured texts is wiped out and also the featured colours and the style of the paintings are different from the other sections of the manuscript.	Throughout	Åström (2003:42; 77; 87-9; 95; 106; 113; 114-5; 126); Cornell (1943); Klemming (1868-1881:280); Vendell (1897:67); Rydberg (1877:46); Schwartz (1876); Collin (1827:67-8); Fant (1818:250)	[MS](https://manuscripta.se/ms/100259)
						1614-1721	f.1r		List of owners						No			1	Various	Younger Cursive	No	Various scribes									[Av](https://www.alvin-portal.org/alvin/view.jsf?dswid=8148&searchType=TEXT&query=&aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1300%22%5D&pid=alvin-record%3A472906&c=17)
						1375-1400 (a paper sheet between f. 94 and f. 95 likely from the sixteenth century)	f.1v	VgL	För (frg.)						Yes				25	Textualis	No	Hand b									
							f.2r	ÄVgL	part.						Yes				4		No										
							ff.2r-11v	YVgL	Kkb											Textualis	Yes	Hand a (ff. 2r-11v)									
																			25	Textualis	No	Hand b									
							f.12r		List of churches in Västergötland												No										
							f.12r		List of churches in Värmland and Dalsland												No										
							f.13r	MEL & KrL	Rhyme on the sections of MEL											Unknown	No	Further scribe									
							ff. 13v-39v	MEL					Yes; on f.22r ("secundum"); f. 28r "tercium"); and on f.36r ("quarcium").							Textualis	No	Hand b (f. 1v; f. 2r; f. 12r and most of ff. 13v-102r)									
							f.40r e. JB.		Danaholm meeting on the borders of Västgötland (ca. 1050-1060)				No						30		No										
							f.40r-v		Borders of Västgötland																						
B 7			KB	Codex	Unknown	1375-1400	ff. 1r-14v	UL	Kkb	I:8 (4b; ff. 1-8)	235x160x45	220x150	Yes; Custodes on f. 17v; f. 29v; f. 39v; f. 49v; f. 58v; f. 67v; f. 77v; f. 87v; f. 99v; f. 111v.	I		Parchment		1	28		Yes	Hand a	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Schlyter (1834:XI-XII); Schlyter (1862:XIX); Wollin (1981:91-5); Åström (2003)	[MS (Not digitalised)](https://manuscripta.se/ms/100260)
							f. 8v		Kkb (SdmL; section)																						
							ff.15r-114v	MEL																							
							ff. 26r-27v		Kgb; ch. 10 (UL)																						
							f. 77v	Ovidius: Versus	Fasti; Lib. 6 v. 589-590																						
							f. 114v		RB																						
							f.. 114v		List over Christian Swedish kings																						
B 8			KB	Codex	Unknown	1475-1500	ff.1r-70v	MEL		I:10 (5b; ff. 1-10);II:7 (3b; 1f; ff. 11-17); III:7 (3b; 1f; ff. 18-24); IV:5 (1b; 3f; ff. 25-30); V:8 (3b; 2f; ff. 31-38); VI:6 (1b; 4f; ff. 39-44); VII:10 (4b; 2f; ff. 45-54); VIII:11 (5b; 1f; ff. 55-65); IX:5 (2b; 1f; ff. 66-70); X:2 (1b; f. 70)	225x150x40	215x140	Unknown	I		Parchment		1	30			Hand a	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Schlyter (1862:xlix)	[MS (Not digitalised)](https://manuscripta.se/ms/100261)
							ff. 11-12r		Kgb ch. 10																						
B 9			KB	Codex	Unknown	1375-1400	ff.1r-91v	MEL		I:4 (2b; ff. 1-4); II:2 (1b; ff. 5-6); III:4 (2b; ff. 6:1-6:4); IV:6 (3b; ff. 7-12); V:2 (1b; ff. 12:1-12:2); VI:8 (4b; ff. 13-20); VII:8 (4b; ff. 21-28); VIII:8 (4b; ff. 29-36); IX:8 (4b; ff. 37-44); X:8 (4b; ff. 45-52); XI:4 (2b; ff. 53-56); XII:8 (4b; ff. 57-64); XIII:8 (4b; ff. 65-72); XIV:8 (4b; ff. 73-80); XV:8 (3b; 2f; ff. 81-88); XVI:3 (3f; ff. 89-91); XVII:13 (5b; 3f; ff. 91:1-91:13)	245x175x55	225x155	Unknown	I		Parchment		1	24		No	Hand a	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Cornell (1943)	[MS (Not digitalised)](https://manuscripta.se/ms/100262)
							f. 91r		Eb (ÖgL; part.)																						
							f. 91r		Mhb ch. 49 (UL)																						
B 10			KB	Codex	Unknown	Unknown	ff. 1-4	YVgL	Kkb	I:5 (1b+3f; ff. 1-5)	255x190x60	240x170	Unknown	II	Yes	Parchment	Ink	1	28	Textualis	Yes	Hand a	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Klemming (1868-1881:280); Schlyter (1862:XII-XIII; 1838: 184-190)	[MS (Not digitalised)](https://manuscripta.se/ms/100263)
							f. 5r-v		RB													Futher scribe									[Av](https://www.alvin-portal.org/alvin/view.jsf?dswid=8148&searchType=TEXT&query=&aq=%5B%5B%7B%22A_FQ%22%3A%22b5%22%7D%5D%5D&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%2C%22CRP_facet%3A1300%22%5D&pid=alvin-record%3A472902&c=4)
						1300-1400 (AV: 1350-1399)	ff. 6r-92r	MEL	In the margins; various sections from KrL were added in the following centuries	II:4 (1b; 2f; ff. 6-9); III:8 (4b; ff. 10-17); IV:6 (3b; ff. 18-23); V:8 (4b; ff. 24-31); VI:8 (4b; ff. 32-39); VII:5 (2b; 1f; ff. 40-44); VIII:1 (1f; f. 45); IX:6 (3b; ff. 46-51); X:4 (2b; ff. 52-55); XI:8 (4b; ff. 56-63); XII:6 (3b; ff. 64-69); XIII:8 (4b; ff. 70-77); XIV:8 (4b; ff. 78-85); XV:7 (3b; 1f; ff. 86-92); XVI:3 (3f; ff. 93-95)				I								Hand b		Romanesque; Gothic	R; B	Ornamented large (5-6 lines) and small initials (2 lines). Small initials are usually painted in Lombard initials.	Large and Small	A historiated full-page miniature showing the Calvary Group is depicted on f. 37r; with an additional; kneeing figure below the cross on the right side. In addition; in the lower margin on f. 68r; a fighting scene featuring two figures is found (likely related to Mhb). Otherwise; sixteen ornamented large initials (5-6 lines) on f. 2v; f. 6r12-20 (9 lines); f. 18v; f. 29r1-6; f. 38v; f. 48r1-5; f. 50v; f. 56r1-6; f. 68r1-6; f. 74v; f. 78r1-6; f. 82v; f. 85v; f. 97r; f. 98r and f. 99r.	Throughout	Karlsson (1904:XIX-XXIII)	
						Unknown	ff. 93-95		RBME 1335													Further scribes		Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Liljegren (1829); Hjärne (1895:314-322); Hadorph (1687:1-3; 6)	
							f.96r		RBKK 1458	XVII:10 (4b; 2f; ff. 96-105); XVIII:3 (1b; 1f; ff. 106-108)				II								Hand a									
							f.96v		List over communal forests																						
							f.97r-97v		List over borders of counties																						
							f.97v		List over churches in Västergötland																						
							f.98r		Danaholm meeting on the borders of Västgötland (ca. 1050-1060)																						
							ff.98r-99r		Borders of Västgötland																						
							ff.99r-102v		RBKM 1284																						
							ff.103r-104v		SBB 1281																						
							ff.104v-105v		BNRR 1458													Further scribes									
							f.105v		BNRR 1458																						
							f.105v		List of lawmenn (?)																						
							ff.106r-108v		RBKM 1285																						
B 11			KB	Codex	Unknown	1350-1399	ff.1-3	UL	Kkb	I:3 (1b; 1f; ff. 1-3); II:8 (4b; ff. 4-11); III:8 (4b; ff. 12-19); IV:8 (4b; ff. 20-27); V:8 (4b; ff. 28-35); VI:8 (4b; ff. 36-43); VII:8 (4b; ff. 44-51); VIII:8 (4b; ff. 52-59); IX:8 (4b; ff. 60-67); X:8 (4b; ff. 68-75); XI:8 (4b; ff. 76-83); XII:10 (5b; ff. 84-93); XIII:10 (5b; ff. 94-103); XIV:1 (1f)	250x195x40	235x185	Yes. On f. 11v ("a"); f. 19v ("a-b"); f. 27v ("c" ); f. 35v ("d"); f. 43v ("e"); f. 51v ("f"); f. 59v ("g"); f. 75v; f. 83v; f. 93v.	I (ff. 1-59)-II (ff. 60-103)	Yes	Parchment	Ink	1	22	Textualis	No	Hand a ff. 1r-59v	Unknown	Romanesque	R; B	Ornamented large initials (5 lines) and small initials (2 lines). Small initials are usually painted as Lombard letters.	Large and Small	None. Ornamented large initials on f. 7r and f. 30r according to MS.	Throughout	Cornell (1943)	[MS (Not digitalised)](https://manuscripta.se/ms/100264)
							ff.5v-103v	MEL (with later additions from UL (Kb ch. 10) and KrL (jb ch. 23-24)														Hand b (ff. 60v-103v) (both parts are codicoligically separted)									[Av](https://www.alvin-portal.org/alvin/view.jsf?dswid=9154&searchType=TEXT&query=B&aq=%5B%5B%7B%22A_FQ%22%3A%22B%22%7D%5D%5D&aqe=%5B%5D&af=%5B%22ARCHIVE_ORG_ID_facet%3A23%22%5D&pid=alvin-record%3A472907&c=75)
B 12			KB	Codex	Unknown	1375-1400	ff.1r-115v	MEL		I:9 (4b; 1f; ff. 1-8); II:3 (1b; 1f; ff. 9-11); III:6 (3b; ff. 12-17); IV:10 (5b; ff. 18-27); V:7 (3b; 1f; ff. 28-34); VI:4 (2b; ff. 35-38); VII:8 (3b; 2f; ff. 39-46); VIII:8 (4b; ff. 47-54); IX:8 (4b; ff. 55-62); X:8 (4b; ff. 63-70); XI:8 (4b; ff. 71-78); XII:8 (4b; ff. 79-86); XIII:8 (3b; 2f; ff. 87-94); XIV:8 (4b; ff. 95-102); XV:8 (4b; ff. 103-110); XVI:5 (2b; 1f; ff. 111-115)	230x180x60	220x160	Unknown	I		Parchment		1	25			Hand a	Unknown	Unknown	R; B; G; Gold	Unknown	Unknown	Unknown	Unknown	Cornell (1943)	[MS (Not digitalised)](https://manuscripta.se/ms/100265)
B 13			KB	Codex	Unknown	1439	ff. 1r-111r	MEL (with later additions from KrL)		I:1 (1f; f. I); II:2 (2f; ff. II-III); III:8 (4b; ff. 1-8); IV:8 (4b; ff. 9-16); V:1 (1f; f. 16a); VI:9 (4b; 1f; ff. 17-25); VII:10 (4b; 2f; ff. 26-34); VIII:10 (5b; ff. 35-42); IX:8 (4b; ff. 43-50); X:8 (4b; ff. 51-58); XI:11 (4b; 3f; ff. 51-67a); XII:9 (4b; 1f; ff. 67b-75); XIII:8 (4b; ff. 76-83); XIV:8 (4b; ff. 84-91); XV:8 (4b; ff. 92-99); XVI:8 (4b; ff. 100-107); XVII:5 (2b; 1f; ff. 108-111)	220x160x60	210x150	Yes. Custodes on f. 8v; f. 99v; f. 107v. Gathering signatures on f. 9r ("2us"); f. 26r ("5"); f. 35r ("6"); f. 43r ("7"); f. 59r ("8"); f. 68r ("9"); f. 76r ("10").	I	Yes	Parchment	Ink	1	24-26	Cursiva R	No	Hand a (Petrus Nicolai)	Unknown	Romanesque	R	Small Lombard initials (2 lines)	Small	None	Throughout	Cornell (1943); Schlyter (1862:xxvi); Hedlund (1980:22); Åström (2003)	[MS](https://manuscripta.se/ms/100266)
																															
							f. 111r		Latin annotation																						
							f. 111r		Epilogue with date of writing																						
B 14			KB	Codex	Unknown	1435	ff.1r-7v		Calendarium	I:2 (1b; ff. I-II); II:6 (3b; ff. 1-6); III:9 (4b; 1f; ff. 7-15); IV:8 (3b; 2f; ff. 16-23); V:8 (4b; ff. 24-31); VI:8 (4b; ff. 32-39); VII:8 (3b; 2f; ff. 40-47); VIII:8 (3b; 2f; ff. 48-55); IX:9 (3b; 3f; ff. 56-64); X:8 (3b; 2f; ff. 65-72); XI:10 (2b; 6f; ff. 73-82); XII:9 (4b; 1f; ff. 83-91); XIII:8 (4b; ff. 92-99); XIV:10 (5b; ff. 100-109); XV:7 (3b; 1f; ff. 109-115); XVI:2 (1b; ff. 115:1-115:2)	205x165x50	200x150	Yes. Custodes on f. 15v; f. 23v; f. 39v; f. 61v; f. 64v; f. 90v; f. 108v. Gathering signatures on f. 20r; f. 24r; f. 28r; f. 29r ("c v"); f. 32r ("d"); f. 33r ("d ij"); f. 34r; f. 35r; f. 65r ("h"); f. 67r ("h -"); f. 68r ("h -"); f. 69r ("h -"); f. 74r; f. 75r; f. 78r; f. 79r; f. 89r ("k -"); f. 91r ("k").	I		Parchment		1	28-32			Hand a	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Cornell (1943)	[MS (Not digitized)](https://manuscripta.se/ms/100267)
							ff.8r-20v	UL	Kkb																						
																															
