Shelf mark	Name	Related Shelfmarks	Depository	Object	Size	Dating	Leaves/Pages	Main text	Minor text	Gatherings	Full size	Leaf size	Catch Words and Gatherings	Production Unit	Pricking	Material	Ruling	Columns	Lines	Script	Rubric	Scribe	Production	Style	Colours	Form of Initials	Size of Initials	Iconography	Place	Literature	Links to Database
AM 347 fol	Belgsdalsbók	"I.27/d2" (Ólafur Halldórsson, 1904)	SÁM	Codex	Fol.	1350	ff. 1r-4r	KAB	part. (ch. 26-35)	(original first gathering lost) I: 8 (4b, ff. 1-8); II: 8 (4b, ff. 9-16); III: 8 (4b, ff. 17-24); IV: 8 (4b, ff. 25-32); V: 8 (4b, ff. 33-40); VI: 8 (4b, ff. 41-48); VII: 8 (4b, ff. 49-56); VIII: 6 (3b, ff. 57-62); IX: 8 (4b, ff. 63-70); X: 8 (4b, ff. 71-78); XI: 6 (3b, ff. 79-84)	Unknown	265-270x190-200	None	I	Yes	Parchment	Ink	2	32	Gothic	Yes	Hand a (ff. 1r-8ra16, 8rb-84v), minor scribe (hand b: 27rb:1-18, 40ra:16-32, 41rb:9-22, 41va:1-13, 43v, 77vb, 78rb:13-26, 79rb, 79vb:1-10, 80ra, 80vb, 81rb, 81vb, 82vb, 83va og 84vb:8-23, as well as the rubrics)	Helgafell area	Romanesque, Gothic	Y, R, B	Pen-flourished initials; Medium and large initials (4-7 lines) and minor initials (3 lines)	Small, Medium, Large	5 historiated initials on f. 8rb1-11 (Bréf Magnúss konungs, ch. 1; An enthroned and crowned figure holding a parchment with one hand and the other showing a demanding gesture, the other figure holding with one hand the parchment, too; details on the throne show a lion claw and a snake head), f. 9rb1-7 (Þingfararbálkr, ch. 1; Christ in Majesty with raised arms, the heraldic left hand shows a blessing gesture), f. 12ra10-17 (Kristindómsbálkr, ch. 1; two figures standing: a crowned figure holding a sword and a figure clad in bishop's clothing holding a crosier), f. 15va15-21 (Mannhelgisbálkr, ch. 1; four figures gathered around a table [similar to the knucklebones on f. 9r], one handing out coins to a seated, bearded figure while two are watching the scene, one with a demanding gesture), f. 60va10-14 (Þjófabálkr, ch. 1; 3 figures depicted, one in the middle is bound by a second figure on the back while a third holds onbe hand on the first figure's shoulder and the other is hold up with demanding gesture), ornamented, at times zoomorphic large initials on f. 22vb1-5, f. 31va1-6, f. 34rb16-21, f. 52ra22-25, f. 57rb14-18, f. 64vb1-4, f. 66va3-6	Throughout		[HR](https://handrit.is/manuscript/view/is/AM02-0347/0)
							ff. 4v-8ra16		Table of contents																						[NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/28425)
							ff. 8rb-64va29	Jó																							
							ff. 64va:30-66rb:24		RBEK 1294																						
							ff. 66va-84vb	Grg	KLÞ ch. 1, selected sections from other bálkar																						
						1360-1370	ff. 85r-86rb5		SEE 1320 [1]	XII: 8 (4b, ff. 85-92); XIII: 6 (3b, ff. 93-98)				II			Dry					Hand a (ff. 85r-94va) & hand c (bl. 94vb-98v)		Romanesque	G	Lombard Initials	Small	None			
							ff. 88rb6-87va14		SEE 1320 [3] (section)																						
							ff. 87va15-90va9		SPE 1346																						
							ff. 90va10-94va		SJE 1280																						
							f. 94vb1-13		SAB 1281																						
							ff. 94vb14-95va11		SEE 1320 [3] (section)																						
							ff. 95va12-vb7		ÞMMEA 1281																						
							ff. 95vb8-98vb		SEE 1320 [3] (section)																						
AM 350 fol.	Skarðsbók / Skarðsbók Jónsbókar / Codex Scardensis	"II.2/æ" (Ólafur Halldórsson, 1904)	SÁM	Codex	Fol.	1363 (ff. 18-23 1500-1525)	ff.1v-72r	Jó		I: 8 (4b, ff. 1-8); II: 8 (4b, ff. 9-16); III: 8 (4b, ff. 17-24 [3b, ff. 18-23 from 1500-1550]); IV: 8 (4b, ff. 25-32); V: 8 (4b, ff. 33-40); VI: 8 (4b, ff. 41-48); VII: 8 (4b, ff. 49-56); VIII: 8 (4b, ff. 57-64); IX: 8 (4b, ff. 65-72); X: 8 (4b, ff. 73-80); XI: 8 (4b, ff. 81-88); XII: 8 (4b, ff. 89-96); XIII: 8 (4b, ff. 97-104); XIV: 8 (4b, ff. 105-112); XV: 8 (4b, ff. 113-120); XVI: 8 (4b, ff. 121-128); XVII: 8 (4b, ff. 129-136); XVIII: 7 (3b, 1f, ff. 137-143); XIX: 4 (4b, ff. 144-151)	Unknown	355-360x267-270	None	I &II	Yes	Parchment	Dry	2	28	Gothic	Yes	Hand a (apart from ff. 18-23, by hand b)	Helgafell area	Romanesque, Gothic	Y, R, G, B	Pen-flourished initials; Medium and large initials (4-7 lines) and minor initials (3 lines)	Small, Medium, Large	14 historiated initials (with extentions in the lower margin) on f. 1va1-5 (Bréf Magnúss konungs, ch. 1; The Annunciation iconography), f. 2rb17-22 (Þingfararbálkr, ch. 1; The Throne of Grace iconography, with a further added figure on the right side of the initial letter), f. 5vb4-9 (Kristindómsbálkr, ch. 1; The Calvery Group iconography), f. 9r (Konungs þegnskyldu, ch. 1; in the lower margin/bas-de-page: Twe meen measuring vaðmal), f. 9vb22-27 (Mannhelgisbálkr, ch. 1; One figure clad in a tunic and chain mail holds his heraldic right hand on the head of a second figure, the other hand cuts the head of that figure with a sword. The second figure knees before that figure and points with one hand towards the ground. The ground is depicted as being stony with grass [?]), f.27ra19-24 (Framfærslubálkr, ch. 1; One kneeing figure, old figure with a beard is shown on the left with both hands held up, one showing a demanding gesture. On the right, a younger figure is shown holding the beard of the old figure while the other holds the hand with the demanding gesture. Overall, the clothing of the young figure appears to be particularly modern in relation to the clothing of the other figures in the initial and its direct marginalia), f. 31ra22-28 (Landabrigðabálkr, ch. 1; two figures are shown arguing: The one on the left is particularly smaller and appears to have a younger appearance while the one on the right is larger and older, featuring a beard and half-bald. A connection to the previous major initial on f. 27r is likely intended), f. 34ra4-11 (Búnaðarbálkr, ch. 1; the lower part of the initial shows a scene including four figures: One is seated on the right side wearing a beard the other three are shown standing towards from the other side. One of these shakes hand with the first figure. The one next to that figure holds one of its hands on its shoulders while the other figure shows a demanding gesture. The upper part of the initial shows various goats and cattle), f. 51rb15-21 (Rekabálkr, ch. 1; Four figures clad in tunics and liripipes cut the meat of a large fish depicted in the middle), f. 55rb8-14 (Kaupabálkr, ch. 1; two figures are found in the main initial: One, young-looking on the left, clad in a considerably modern fashion and with a liripioe while the other figure is depicted seating and wearing a beard and a tunic. Both figures point at each other as if they are arguing about something), f. 61va23-28 (Farmannalög, ch. 1; two scenes are found, seperated by shape of the initial letter [S]: Thye upper part shows two figures, one sitting and wearing a beard, the second, younger looking figure knees before the first figure. Both figures shake hands. The scene below depicts a wooden boat and two figures: One of them lays below the boat and holds a plate onto it while the other sits on the boat and seems to be using a hammer to nail the plate onto some of the upper planks of the boat), f. 67va20-25 (Þjófabálkr, ch. 1; In the initial, three figures are depicted: One elderly looking figure with a beard is shown sitting on the left and holding his hands on the neck of a further figure in the middle. That figure is shown bound on the hands and with an ape face. Flanking this figure on the right a third, standing figure holds with one hand the chains with which the second figure is bount and with the other showing a demanding gesture), f. 19ra4-9 (Hirðskrá, ch. 1; Two figures are depicted: On the left, a seated and crowned figure holds a book with one hand while the other points to the hilt of a sword. The other figure knees on the right and grabs the hilt with one hand while the other holds the other side of the book), f. 107va3-9 (Kristinréttr Árna Þorlákssonar, ch. 1; In the initial, four figures are depicted, one with a tonsure and a long robe. This figure holds a small figure [child] in his hands above a bowl. On the other side of the bowl, one male and one female figure is found, the male figure holding a cloth in his hands), in addition to f. 19ra18-22 (Kvennagiftingar, ch. 1 (Erfðatal); the initial is shaped as a dragon that bites floral ornamentation/with floral ornamentation coming from its mouth) and f. 83rb8-13 (decorated, Channel style initial, with grylli figures (in light green) on the outside)	Throughout		[HR](https://handrit.is/manuscript/view/is/AM02-0350/0)
							f. 72rb-va2		RBMH 1267																						[NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/28499)
							ff. 72va3-73vb4		RBEM 1280																						
							ff. 73vb5-74ra17		RBHM 1306																						
							f. 74ra18-rb2		RBHM 1313																						
							f. 74rb3-va12		RBHM 1306 [2]																						
							f. 74va13-vb21		RBHM 1313 [2]																						
							ff. 74vb22-75rb2		RBHM 1318																						
							f. 75rb3-25		RBHM 1313 [3]																						
							f. 75rb25-va27		RBHM 1309																						
							f. 75va28-vb		RBHM 1303																						
							f. 76ra-rb2		RBHM 1316																						
							f. 76rb3-va3		RBHM 1315																						
							ff. 76va4-77ra2		RBHM 1303 [2]																						
							f. 77ra13-rb21		RBHM 1305																						
							ff. 77rb22-78ra20		RBHM 1318																						
							f. 78ra21-rb21		RBHM 1313 [4]																						
							f. 78rb22-vb6		RBME 1320																						
							ff. 78vb7-79va		RBME 1320 [2], with RBHM 1309																						
							ff. 79vb-80ra3		RBME 1330																						
							f. 80ra4-24		RBME 1329																						
							f. 80ra25-rb		RBME 1353																						
							f. 80va1-25		RBME 1340/1360																						
							ff. 80va26-81ra11		RBME 1342																						
							f. 81ra12-27		RBMH [undated]																						
							f. 81rb1-24		ÞMMEA 1281																						
							ff. 81rb25-83ra23		Legal formulas (Old Icelandic)																						
							ff. 83ra24-90vb27		Saktal í Jónsbók																						
							ff.91ra-107rb28	Hrðs																							
							ff.107va4-121rb15	KAB																							
							f. 121rb16-vb4		SVK 1247																						
							ff. 121vb5-122rb8		SIP 1249																						
							ff. 122rb10-125va26	Sættargerð Magnúsar konungs og Jóns erkibiskups 1277																							
							ff. 125va27-127ra6		SJE 1327																						
							ff. 127ra7-130vb6		Bannsaknabréf RH 1326																						
							ff. 130vb7-132vb21		SEE 1327																						
							ff. 132vb22-138va14		SEE 1320 (section)																						
							ff. 138va15-141ra24		SPE 1342																						
							f. 141ra25-vb15		SAB 1281																						
							ff. 141vb16-142ra22		Summa de casibus (trans. Reymond of Pennafort [excerpt])																						
							f. 142ra23-rb25		Summa de casibus (trans. Godefridus Andevangensis [excerpt, from Liber Extra X 4.7.2])																						
							ff. 142rb26-143ra12		Translated clauses for statutes																						
							f. 143ra13		SMB 1224																						
							ff. 143va18-144vb24		SAB 1269, with parts of SAB 1275, parts of SAB 1290, parts of SAB 1280																						
							ff. 144vb25-145rb24		SGB 1359																						
							ff. 145rb25-147ra1		SEE 1320 (section)																						
							f. 147ra2-vb4		Saktal hins forna Kristin rétts																						
							ff. 147vb5-148ra7	KJE	ch. 49																						
							f. 148ra8-rb14	Sættargerð Eiríks konungs og Árna byskups 1297																							
							f. 148rb15-va25		Um dismal daga																						
							f. 148va26-vb2		Um flóð ok fjöru																						
							f. 148vb3-7		Nöfn þriggja austvegs konunga á hebresku, grisku og latínu																						
							ff. 148vb8-149ra10		Um heimsalda																						
							f. 149ra10-rb11		Dómadagsundr																						
							f. 149v150va20		Formáli Hólabyskups fyrir handa presti sem sendr er á fund erkibiskups (1334 [?])																						
							f. 150va21-27	Bible	Luke 11:27-27																						
						ca. 1500-1525	f. 150vb1-9	KJE	ch. 62					III	No			1	Various			Hand c (1500)	Unknown								
							f. 150vb10-27	KAB	several sections																						
							f. 150vb28-53		Legal formulas (Old Icelandic)											Gothic	Yes										
							f. 151r1-28		SbAB 1269																						
							f. 151r29-v16		SbJB 1276 [/1346?]																						
							f. 151v17-46		Legal formulas (Latin)																						
							ff. 152ra-156va4		Table of contents	XX: 6 (3b, ff. 152-157)												Hand d (1500-1525)									
							f. 157v		Legal formula (Latin)																						
AM 351 fol	Skálholtsbók eldri	"I.1/Main manuscript" (Ólafur Halldórsson, 1904)	SÁM	Codex	Fol.	1400	ff. 1-64rb	Jó		I: 4 (ff. 1-4); II: 2 (ff. 5-6); III: 8 (ff. 7-14); IV: 8 (ff. 15-22); V: 8 (ff. 23-30); VI: 8 (ff. 31-38); VII: 8 (ff. 39-46): VIII: 8 (ff. 47-54); IX: 8 (ff. 55-62); X: 8 (ff. 63-70); XI: 8 (ff. 71-78); XII: 8 (ff. 79-86); XIII: 8 (ff. 87-94); XVI: 8 (ff. 95-102); XV: 8 (ff. 103-110); XVI: 8 (ff. 111-118); XVII: 8 (ff. 119-126); XVIII: 7 (ff. 127-133)	Unknown	280x198	None	I	Yes	Parchment	Dry	2	30	Gothic	Yes	Hand a	Northern Iceland (?)	Romanesque, Gothic	Y, B, R, G	Pen-flourished initials; Medium and large initials (6-9 lines) and minor initials (3 lines)	Small, Medium, Large	1 historiated initial on f. 2ra1-9 (Þingfararbálkr, ch. 1; two figures: One [Óláfr helgi], depicted with a halo, on the left sitting on a throne, holding an axe in one hand and in the other a book. Before the throne a second figure is depicted on the right [Þorlákr helgi?], also with a halo. This figure holds a bishop's stave, and shows with the other a blessing gesture) and ornamented littera florissa on f. 1ra1-6, f. 5rb5-10, f. 6va22-28, f. 15va10-16, f. 17va11-14, f. 22vb3-9, f. 26ra16-22, f. 29ra1-6, f. 44rb12-17, f. 48ra11-18, f. 53vb11-17, f. 58rb21-27, f. 64va1-4, f. 72va14-18, f. 74ra18-23, f. 96vb5-11, f. 110vb11-15	Throughout	Kjeldsen (2010); DI I, 108-9; NgL IV, 536-38; Kålund 1889, 285-86; Winroth (2018); Westergård-Nielsen (1971); Schulman (2010:485); Stefán Karlsson (1972:199-204; 1979:124-127; 1982:197-200)	[HR](https://handrit.is/manuscript/view/is/AM02-0351/0)
							ff. 64va-66ra		RBEM 1294																						[NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/28515)
							f. 66ra-va		RBHM 1305																						
							ff. 66va-68ra		RBHM 1314																						
							ff. 68ra-70vb		RBHM 1308																						
							ff. 70vb-72va		RBHM 1302																						
							ff. 72va-73va	Jó	Krb ch. 3-11																						
							ff. 73va-74ra	Js	Krb ch. 5-7																						
							ff. 74r-87vb	KAB																							
							ff. 87vb-88ra		ÞMMEA 1281																						
							f. 88ra-88vb		SAB 1281 [1]: Um bannsverk																						
							ff. 88vb-92ra		SEA 1323 [1st part]																						
							ff. 92ra-94va		SPE 1342																						
							ff. 94va-94vb13		Summa de casibus (trans. Reymond of Pennafort [excerpt])																						
							ff. 94vb13-95ra12		Summa de casibus (trans. Godefridus Andevangensis [excerpt, from Liber Extra X 4.7.2])																						
							f. 95ra13-16		SAB 1269 (excerpt)																						
							f. 95ra-va		SMB 1224																						
							ff. 95va-96vb		SAB 1269																						
							ff.96vb-107vb	Grg	Klg																						
							ff. 107vb-110vb		SGB 1096																						
							ff. 110vb-112va		SPE 1336																						
							ff. 112va-113va		SPE 1334																						
							ff. 113va-114vb		SEA 1327																						
							ff. 115ra-115rb		SEA 1320																						
							f. 115rb-vb		SJA 1306																						
							ff. 115vb-116vb		SJA 1290																						
							ff.116vb	Annals (1275-1277)																							
							ff. 116vb-120vb		SJA 1280																						
							f. 120vb		SAB 1292																						
							ff. 120vb-121rb		SAB 1280																						
							f. 121rb-vb13		SEA 1320 [2]																						
							ff. 121vb6-122ra		SAB 1269																						
							ff. 122ra-123rb		SAB 1281 [2]																						
							f. 123rb-va		SAB 1281 [3]																						
							ff. 123va-124rb		SGB 1354																						
							f. 124rb-vb		SEA 1323 [2nd part]																						
							ff. 124vb-125vb		Alkuin, De virtutibus et vitiis (section, trans.)																						
							ff. 125vb-126va		SJB 1326																						
							f. 126va-vb		SGB 1359																						
							ff. 126vb-130rb	Sættargerð Magnúsar konungs og Jóns erkibiskups 1277																							
							f. 130rb-va4	Annalistic notice (on church property in Norway and England)																							
							f. 130va-vb		RBHM 1318																						
							ff. 130vb-131ra		RBHM 1305																						
							f. 131ra-vb		RBHM 1315																						
							f. 131ra-rb		RBMH 1320																						
							f. 131va-vb		RBMH 1329																						
							ff. 131vb-132ra4		RBMH 1363 (directly connected with the following RB)																						
							ff. 132ra4-132va		RBHM 1309																						
							f. 132va-vb		RBMH 1345																						
							ff. 132vb-133ra		RBMH 1353																						
							f. 133ra-vb		Legal formulas																						
AM 354 fol.	Skálholtsbók yngri	"II.3/copy of y" (Ólafur Halldórsson, 1904)	SÁM	Codex	Fol.	1397-1410	ff. 1v-17r	KAB		I: 8 (3b, 2f, ff. 1-8); II: 8 (4b, ff. 9-16); III: 8 (4b, ff. 17-24); IV: 8 (4b, ff. 25-31); V: 8 (4b, ff. 32-39); VI: 8 (4b, ff. 40-47)	Unknown	272x193	Yes	I	Yes	Parchment	Dry	1	29	Gothic	Yes	Hand a	Northern Iceland (?)	Romanesque	R, G, B, Y	Pen-flourished initials; Medium (3-5 lines) and minor initials (2 lines)	Small, Medium	None. Medium initialsdecorated as littera florissa with fleuronnee on f. 48r1-4, f. 49r3-6, f. 52v23-26, f. 62r10-14, f. 73v20-23, f. 76v8-10, f. 83v23-27, f. 92r10-13, f. 107r8-10, f. 107v21-23, f. 108r18-20, f. 113v21-24, f. 118v6-9, f. 120r1-3, f. 120r19-21, f. 121v18-20, f. 122r13-15, f. 126r23-26, f. 133r25-28	Throughout		[HR](https://handrit.is/manuscript/view/is/AM02-0354)
							f. 17r		SVK 1247																						[NorS](https://sprogsamlinger.ku.dk/q.php?p=ds/hjem/mapper/28545)
							ff. 17v-18r		SIP 1248																						
							ff. 18r-19r	KAB	ch. 35-36																						
							ff. 19r-23v		SEE 1320 [3]																						
							ff. 23r-24r		SEE 1320 [1]																						
							ff. 24r-25r		SMB 1224																						
							ff. 25r-26r		SAB 1269 (excerpt)																						
							f. 26r-v		SAB 1281																						
							ff. 26v-27r		SJB 1345																						
							ff. 27v-31v		SPE 346																						
							ff. 31v-32v		SGB 1354 & SGB 1359																						
							f. 33r		SVB 1396																						
							ff. 33v-36r	Sættargerð Magnúsar konungs og Jóns erkibiskups 1277																							
							ff. 36v-38v		SHP 1285																						
							ff. 38v-42r		SJE 1280																						
							Ff. 19r-43r		SJB 1326																						
